AccountAge,MonthlyCharges,TotalCharges,SubscriptionType,PaymentMethod,PaperlessBilling,ContentType,MultiDeviceAccess,DeviceRegistered,ViewingHoursPerWeek,AverageViewingDuration,ContentDownloadsPerMonth,GenrePreference,UserRating,SupportTicketsPerMonth,Gender,WatchlistSize,ParentalControl,SubtitlesEnabled,CustomerID
1,7.591326920750522,7.591326920750522,Standard,Electronic check,No,TV Shows,Yes,TV,9.102780702321205,31.91056040457845,40.0,Sci-Fi,3.5963137975557253,9.0,Male,14.0,No,No,EPWKLWW0QE
90,19.95380526180352,1795.8424735623164,Premium,Bank transfer,No,Both,No,Mobile,8.979360613268486,169.74743528650893,37.0,Drama,2.8427880885023966,9.0,Female,9.0,Yes,No,CS1WB7ZAF4
46,12.477220078602022,573.952123615693,Basic,Bank transfer,No,Movies,Yes,TV,35.370900458995386,39.985887965997634,42.0,Sci-Fi,3.247815427745081,0.0,Female,8.0,Yes,No,PRJC1JI20D
79,17.74595398827934,1401.9303650740678,Basic,Mailed check,Yes,TV Shows,No,Mobile,15.446419571039772,114.96877215440652,40.0,Comedy,1.7746159600847142,2.0,Female,5.0,Yes,No,TBKN6U8WCW
89,10.096042219584632,898.5477575430323,Premium,Electronic check,No,Both,Yes,Computer,12.329732803452032,100.68166216963716,49.0,Sci-Fi,4.859682372775796,4.0,Female,3.0,Yes,Yes,MLI3G7R3VB
66,14.668197037860269,968.1010044987778,Standard,Electronic check,No,TV Shows,No,Tablet,9.989598443200997,17.737363304168106,4.0,Action,4.090247575340527,3.0,Female,3.0,Yes,No,Y88FCCJGVN
9,14.96427759910664,134.67849839195978,Basic,Credit card,Yes,Both,No,Computer,32.500160749010675,173.55869099344636,48.0,Fantasy,2.9364748741695728,0.0,Male,3.0,No,No,8M6LT5T302
100,11.394148779548903,1139.4148779548902,Premium,Electronic check,No,TV Shows,Yes,Tablet,27.391571728197235,9.350496933047786,7.0,Comedy,1.3134365157990038,7.0,Female,14.0,No,No,IR22HZR5LE
45,12.692483408880218,571.1617533996098,Basic,Electronic check,Yes,Movies,Yes,Tablet,15.1502615205251,25.05693607557072,39.0,Comedy,4.577868051649439,0.0,Female,20.0,No,No,RY0EZMLNO3
51,14.770663969979012,753.3038624689297,Premium,Mailed check,No,TV Shows,Yes,TV,32.85359125493786,110.9407772943465,6.0,Drama,3.398358792146531,3.0,Male,11.0,No,No,KXNRFRFBE5
69,16.326424342310034,1126.5232796193925,Standard,Bank transfer,No,Both,Yes,Tablet,38.48941165864072,12.094981405644042,9.0,Action,1.4647377999488067,4.0,Male,3.0,No,Yes,ZDSQK0KXLH
51,7.551263188323913,385.1144226045196,Standard,Credit card,No,TV Shows,Yes,Tablet,11.785765464435457,14.775331956688287,14.0,Comedy,2.8989258073981943,0.0,Male,17.0,Yes,No,D1PCOE4PQY
3,15.422622624329524,46.267867872988575,Standard,Mailed check,No,TV Shows,No,Tablet,17.088314610449945,169.251488832332,5.0,Sci-Fi,2.853027612154926,3.0,Female,15.0,No,Yes,PTIXSJQQH6
58,14.910867972350838,864.8303423963486,Standard,Mailed check,Yes,TV Shows,No,Mobile,31.2298453354123,145.47447935539873,46.0,Comedy,1.4885071969740618,6.0,Female,15.0,No,Yes,LC93G47H2W
12,9.8533860961069,118.2406331532828,Premium,Bank transfer,Yes,Movies,No,Computer,2.955687210124176,37.23005651551006,11.0,Action,2.8020506242374044,1.0,Female,0.0,Yes,Yes,NRF1GWZCZ9
22,16.52824194711753,363.6213228365857,Standard,Electronic check,Yes,Movies,Yes,Tablet,22.044764507847702,10.639844080708531,44.0,Drama,3.525638842176045,4.0,Male,13.0,Yes,No,PD2WWJW42U
27,17.604836763345354,475.3305926103246,Premium,Bank transfer,No,Both,No,TV,10.388775812283782,25.856586194155984,15.0,Comedy,1.7000059934787606,9.0,Female,7.0,No,Yes,598Y3SESQJ
56,13.859007862176126,776.104440281863,Premium,Electronic check,Yes,Both,Yes,Tablet,33.33658445319245,15.428097632034657,47.0,Action,3.9023190355388375,5.0,Female,15.0,Yes,Yes,CNELER7NXI
6,12.383014613618728,74.29808768171236,Basic,Mailed check,No,Both,No,Tablet,32.21665229924756,29.341748336274875,33.0,Comedy,3.178463713844658,8.0,Female,10.0,Yes,No,FSXR8VS46I
51,19.92332085043004,1016.089363371932,Premium,Mailed check,Yes,TV Shows,Yes,Computer,20.89051645908331,148.80715040444275,3.0,Action,4.762564429995912,2.0,Male,6.0,Yes,Yes,UDFUBQ73YV
